Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
130513-222845,SS/2B,Brice,Brice Matthews,Matthews,6.228204971704727,39,2400,HOU@MIN,HOU,MIN,,,,,,2B/SS/UTIL
130513-165707,SS/3B/2B/1B/OF,Josh,Josh Smith,Smith,5.2645160305884575,31,2400,TEX@COL,TEX,COL,IL,Lower body,,,,C/1B/2B/3B/SS/OF/UTIL
130513-102303,1B,Triston,Triston Casas,Casas,6.327586206896552,29,2400,BOS@KC,BOS,KC,IL,Abdomen,,,,C/1B/UTIL
130513-102398,OF,Jarred,Jarred Kelenic,Kelenic,5.314285823277065,14,2400,CWS@SEA,CWS,SEA,,,,,,OF/UTIL
130513-102486,OF,Blake,Blake Perkins,Perkins,4.147999877929688,25,2300,MIL@CHC,MIL,CHC,,,,,,OF/UTIL
130513-209177,C/2B/1B,Mickey,Mickey Gasper,Gasper,6.628571646554129,7,2300,BOS@KC,BOS,KC,,,,,,C/1B/2B/UTIL
130513-53757,OF,Rob,Rob Refsnyder,Refsnyder,3.1206896551724137,29,2300,CWS@SEA,SEA,CWS,,,,,,OF/UTIL
130513-219727,2B/1B/OF,Tim,Tim Tawa,Tawa,4.127272865988991,22,2300,SF@ARI,ARI,SF,,,,,,C/1B/2B/OF/UTIL
130513-232218,OF,Tristan,Tristan Peters,Peters,5.555813811546148,43,2300,CWS@SEA,CWS,SEA,,,,,,OF/UTIL
130513-13099,C,Travis,Travis d'Arnaud,d'Arnaud,5.321428571428571,14,2300,ATH@LAA,LAA,ATH,IL,Foot,,,,C/1B/UTIL
130513-119629,SS/2B/OF,Luisangel,Luisangel Acuna,Acuna,4.502941355985754,34,2300,CWS@SEA,CWS,SEA,,,,,,2B/SS/OF/UTIL
130513-13423,OF,Starling,Starling Marte,Marte,4.077777862548828,18,2300,BOS@KC,KC,BOS,,,,,,OF/UTIL
130513-5456,OF,Andrew,Andrew McCutchen,McCutchen,3.623333231608073,30,2300,TEX@COL,TEX,COL,,,,,,OF/UTIL
130513-79249,OF,Harrison,Harrison Bader,Bader,7.055000305175781,20,2300,SF@ARI,SF,ARI,,,,,,OF/UTIL
130513-79257,OF,Josh,Josh Lowe,Lowe,4.473170582841083,41,2300,ATH@LAA,LAA,ATH,,,,,,OF/UTIL
130513-13792,3B/1B/2B/OF,Kike,Kike Hernandez,Hernandez,6.016363525390625,110,2300,LAD@SD,LAD,SD,IL,Elbow,,,,C/1B/2B/3B/OF/UTIL
130513-165544,2B/3B/1B,Lenyn,Lenyn Sosa,Sosa,4.457575942530776,33,2300,TOR@NYY,TOR,NYY,,,,,,C/1B/2B/3B/UTIL
130513-208716,1B/OF,Zach,Zach Dezenzo,Dezenzo,5.240000152587891,10,2300,HOU@MIN,HOU,MIN,,,,,,C/1B/OF/UTIL
130513-102349,SS/2B,Leo,Leo Rivas,Rivas,4.481579027677837,38,2300,CWS@SEA,SEA,CWS,,,,,,2B/SS/UTIL
130513-12310,1B,Carlos,Carlos Santana,Santana,2.2750000953674316,8,2200,SF@ARI,ARI,SF,IL,Thigh,,,,C/1B/UTIL
